Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,TotalSamples,Negative,Positive,Population,Rural population,Urban population,Area,Density,Gender Ratio,NumPrimaryHealthCenters_HMIS,NumCommunityHealthCenters_HMIS,NumSubDistrictHospitals_HMIS,NumDistrictHospitals_HMIS,TotalPublicHealthFacilities_HMIS,NumPublicBeds_HMIS,NumRuralHospitals_NHP18,NumRuralBeds_NHP18,NumUrbanHospitals_NHP18,NumUrbanBeds_NHP18
2020-03-26,6:00 PM,Andaman and Nicobar Islands,1,0,0,0,1,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-03-27,10:00 AM,Andaman and Nicobar Islands,1,0,0,0,1,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-03-28,6:00 PM,Andaman and Nicobar Islands,6,0,0,0,6,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-03-29,7:30 PM,Andaman and Nicobar Islands,-,-,0,0,9,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-03-30,9:30 PM,Andaman and Nicobar Islands,-,-,0,0,9,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-03-31,8:30 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-04-01,7:30 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-04-02,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-04-03,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-04-04,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-04-05,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-04-06,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-04-07,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-04-08,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
2020-04-09,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11,,,,380581.0,237093.0,143488.0,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876.0,,,,,,,,,,
